ticker,event,sector,action,direction,alpha,beta_mkt,beta_smb,beta_hml,r_squared,n_obs
JPM,2022-03-17,Banks,+25 bp,hike,-0.001091961371628695,1.0481336829563226,-0.04605628786029213,0.7752680682721549,0.6348564615014984,220
JPM,2022-06-16,Banks,+75 bp,hike,-0.0013596235366290883,1.1648563026604752,-0.015390104569407079,0.70762214082297,0.5981179739469955,220
JPM,2022-09-22,Banks,+75 bp,hike,-0.0014692150117603224,1.082633595308841,-0.0696065007439495,0.6234532003988809,0.583261889735615,220
JPM,2023-03-23,Banks,+25 bp,hike,0.00046932452517220425,1.042639151811119,-0.08009240872058512,0.6124944960189884,0.6455611197926057,220
JPM,2024-09-19,Banks,-50 bp,cut,0.0005954134605902894,0.8298267729192355,-0.30428373623067295,0.9891266976561022,0.4478338873303992,220
JPM,2024-12-19,Banks,-25 bp,cut,0.0006679630081980216,1.0342115254417164,-0.29674150423453893,1.1364313770704477,0.46800775955624563,220
JPM,2025-09-18,Banks,-25 bp,cut,0.0010829531816132349,1.2437916837809526,-0.036732318892340465,0.9920669998915239,0.7280718805824666,220
JPM,2025-10-30,Banks,-25 bp,cut,0.0007229998084600803,1.250867884288649,-0.19024359748561886,0.9410119231399647,0.721948009697591,220
JPM,2025-12-11,Banks,-25 bp,cut,0.0002747143049575311,1.1523381220710898,-0.31654072817430357,0.5526170351173952,0.7038438381013287,220
BAC,2022-03-17,Banks,+25 bp,hike,-0.0001308985523416503,1.1004357356559973,0.11061043606705849,0.9674352931073138,0.7053027360696528,220
BAC,2022-06-16,Banks,+75 bp,hike,-0.0009128984533342565,1.3463535571852803,0.009411918006724806,0.8837378678893255,0.643618779976763,220
BAC,2022-09-22,Banks,+75 bp,hike,-0.0009952612549527168,1.245400267675904,-0.14607848352850383,0.7512525113682414,0.6335729835793286,220
BAC,2023-03-23,Banks,+25 bp,hike,-0.00042393859860144836,1.154830920429629,0.013307140607941498,0.7030981576201507,0.6627726065597911,220
BAC,2024-09-19,Banks,-50 bp,cut,0.00019685884685458977,1.117112059979928,-0.09024559712091447,1.5833988143980062,0.7020447504951897,220
BAC,2024-12-19,Banks,-25 bp,cut,0.0004956199929064926,1.1362465573560625,-0.12260050693547662,1.4174860312640627,0.6380413800661555,220
BAC,2025-09-18,Banks,-25 bp,cut,0.00026495343674494003,1.258556771038513,0.07067647908091303,1.1324665170859078,0.7433446629650662,220
BAC,2025-10-30,Banks,-25 bp,cut,0.00012170994364145302,1.2586504492235562,-0.03888180596770075,1.0928852269221727,0.7367217243565916,220
BAC,2025-12-11,Banks,-25 bp,cut,-2.7797179680388168e-05,1.2335502933347158,-0.03465163626139299,1.0410147583096223,0.6889745353546489,220
WFC,2022-03-17,Banks,+25 bp,hike,0.0002157988678771535,1.3449969821550938,-0.014342854649818444,1.1256616646941373,0.5803535279332175,220
WFC,2022-06-16,Banks,+75 bp,hike,-0.0006213073075927809,1.5250501082800931,-0.1003548580070561,1.0233848917602855,0.5712176476609105,220
WFC,2022-09-22,Banks,+75 bp,hike,-0.0004106411205013996,1.3972738789164691,-0.1365886573186374,0.8116328272632103,0.5928492816744068,220
WFC,2023-03-23,Banks,+25 bp,hike,5.8859903666494146e-05,1.1276726629022265,0.01584990333368208,0.6831463460009091,0.6113761546301275,220
WFC,2024-09-19,Banks,-50 bp,cut,4.173232577619489e-05,0.9512005348378066,-0.16523666357651529,1.5351971474403192,0.5518589771031064,220
WFC,2024-12-19,Banks,-25 bp,cut,0.0006772894801386111,1.117199836649944,-0.14828101251524511,1.5267116300274006,0.47563594685605315,220
WFC,2025-09-18,Banks,-25 bp,cut,0.001396928930909136,1.3367079873924164,0.3736382673890496,1.3427812772974859,0.7163318132099357,220
WFC,2025-10-30,Banks,-25 bp,cut,0.00032972756574436215,1.3469052852975045,0.12228340935975057,1.31679323356344,0.706871805431561,220
WFC,2025-12-11,Banks,-25 bp,cut,0.0002369337146324661,1.2641183507764948,0.11762205729634972,1.0648999055451185,0.6370411161199053,220
C,2022-03-17,Banks,+25 bp,hike,-0.0011348025541685824,0.9283820131669704,0.22091520742137932,0.820961124853896,0.6236389292121983,220
C,2022-06-16,Banks,+75 bp,hike,-0.001803453229202872,1.0149216740238831,0.19824581015487552,0.7672494368373253,0.549401128031326,220
C,2022-09-22,Banks,+75 bp,hike,-0.0013214126825028683,1.1490774564676678,0.045938196610583744,0.7191571303084138,0.513660680288905,220
C,2023-03-23,Banks,+25 bp,hike,-4.361547542870378e-05,1.2230095178048705,0.21507985560102916,0.76337189598652,0.6262245623920359,220
C,2024-09-19,Banks,-50 bp,cut,0.00041730900474743057,1.1792936548606003,-0.16851020346116702,1.3519422952162468,0.58890761116954,220
