direction,n_events,window,mean_CAR_pct,std_CAR_pct,t_stat,p_value,N
hike,4,"[-1,1]",0.17795894678266916,2.7118178947679885,0.7188692843334792,0.4736306827570927,120
hike,4,"[0,1]",0.07809632865931987,2.154767671133579,0.3970276836624671,0.6920582130046437,120
hike,4,"[0,5]",-0.27970389278195923,3.9781685413282557,-0.7702043284849569,0.44270503365108377,120
cut,5,"[-1,1]",0.01299808084968886,2.718477471183281,0.05855973804211958,0.9533812433219251,150
cut,5,"[0,1]",0.19430169641108033,2.126982556979791,1.118815034007903,0.2650195166166086,150
cut,5,"[0,5]",0.22886186981407713,3.08618627465844,0.9082322853078661,0.36522215165456,150
