ticker,event,"[-1,1]","[0,1]","[0,5]"
AAPL,2022-03-17,-0.02300555365908373,-0.015846054378697544,0.017032909557953623
AAPL,2022-06-16,-0.005176479473311138,-0.003794903518199215,-0.019287963045398985
AAPL,2022-09-22,0.0005173334790501988,0.0019702916248200645,-0.043322370191120445
AAPL,2023-03-23,0.007436238465780904,0.0026167191353211683,-0.012389770336161057
AAPL,2024-09-19,0.036947194749241526,0.015820138042173797,0.0016534757453990486
AAPL,2024-12-19,0.025383801135258333,0.018198479446883575,0.018658332361557978
AAPL,2025-09-18,0.02110907882627846,0.01658082382083388,0.07720001992779776
AAPL,2025-10-30,0.012616380920504423,0.012423476378182845,0.03056094640971092
AAPL,2025-12-11,0.005990305351995431,0.00977346389390106,-0.0022953242530628845
AEP,2022-03-17,-0.02830177654250582,-0.01396154958865136,-0.0020658496042197305
AEP,2022-06-16,-0.010427661734511335,-0.010350006822354752,0.029464084344186223
AEP,2022-09-22,-0.008193930577279887,-0.0035623748005537306,-0.0872182027973088
AEP,2023-03-23,0.007830346408210547,0.02226800440986031,0.016625991867347145
AEP,2024-09-19,-0.023406299853013547,-0.012305535522705828,-0.024327390285724493
AEP,2024-12-19,0.010322956777262575,0.016067917785611403,0.007264918397587205
AEP,2025-09-18,-0.002663076447397622,-0.005166778275084801,-0.006793012652356448
AEP,2025-10-30,0.04100985255712552,-0.016297994528069987,-0.03903615071470457
AEP,2025-12-11,-0.028912771744579263,-0.0049557844447192505,0.0007815653369627439
AMT,2022-03-17,-0.01949677331679827,-0.013514405836285001,-0.05896021941142341
AMT,2022-06-16,0.016065159743238827,-0.003365628511514807,0.056439763161686377
AMT,2022-09-22,-0.014730696783411625,-0.010541622946063499,-0.0693238877548665
AMT,2023-03-23,0.015160858278528686,0.0327927301646217,0.022482541286822245
AMT,2024-09-19,-0.023275108359622213,-0.006600626879269059,-0.017588884259606606
AMT,2024-12-19,-0.04408142127500858,-0.005659285213377305,-0.00840569528133436
AMT,2025-09-18,-0.00788345621656648,-0.019011811405495235,-0.019806535885084332
AMT,2025-10-30,-0.020612623729555912,-0.0004744295397868779,-0.012318487042014985
AMT,2025-12-11,-0.00854475763177955,-0.002689790852992537,-0.04012935101586658
AMZN,2022-03-17,0.017240943192871012,0.012039878680614527,0.00957545243209967
AMZN,2022-06-16,0.04532195856554709,0.019188591562945813,0.0034270805267302175
AMZN,2022-09-22,-0.011691591158815389,-0.007091923545734367,0.015918204205246034
AMZN,2023-03-23,-0.021275618499264952,-0.020202429626589247,-0.00364276009088837
AMZN,2024-09-19,0.00265868050336309,-0.0003332373253035238,-0.019185039116359374
AMZN,2024-12-19,0.0029336687297916737,0.00621030357992248,-0.006844871284675721
AMZN,2025-09-18,-0.021222150389232884,-0.014222774222818839,-0.05462409759423395
AMZN,2025-10-30,0.07592292635177773,0.07267014740731205,0.10211807483675739
AMZN,2025-12-11,0.003388397716968465,-0.009175728858426213,0.008171469559897556
BAC,2022-03-17,0.020035225301374512,0.0001778102983570149,-0.007169874615547668
BAC,2022-06-16,0.0763377614206173,0.06280730869756379,0.04094035823270849
BAC,2022-09-22,-0.011833198049371751,-0.003890381702250008,-0.010073258077354723
BAC,2023-03-23,-0.028460255986993737,-0.019382690237451487,-0.002682550885493226
BAC,2024-09-19,0.01228074612751869,0.012123611408480832,-0.0007353029627206898
BAC,2024-12-19,-0.0004937408836360032,0.0017598463199307727,-0.0055055404714306
BAC,2025-09-18,0.014763932557085784,0.005648575163582063,-0.004069392116391601
BAC,2025-10-30,0.023614698938467772,0.020801052428162894,0.01150113606548613
BAC,2025-12-11,0.005064186089507185,0.01822756919738222,0.0063041158186132856
C,2022-03-17,0.030384195210917845,0.009301023589701491,-0.01060397466251536
C,2022-06-16,0.06665165007209274,0.03307347066997282,0.04694643779202126
C,2022-09-22,-0.004575241003370239,-0.005028814894893402,-0.02220748817425596
C,2023-03-23,-0.019099900833828634,-0.015815315194865877,0.023151983437213596
C,2024-09-19,0.03918740525418987,0.029880873947573466,0.024949874855685825
C,2024-12-19,-0.002665174958981857,-0.001185390096333767,0.012093997378483868
C,2025-09-18,-0.0013740455538350047,-0.007151387488277039,-0.014639463323155428
C,2025-10-30,0.009382688179532438,0.025210615676413813,0.02685047964840071
C,2025-12-11,5.352168145159042e-05,0.007622948384885003,0.020957123371597025
CAT,2022-03-17,0.015465658951582986,0.024503682588452803,0.02628820763450044
CAT,2022-06-16,-0.01765603057993176,-0.014238213891785817,-0.05654843718181067
CAT,2022-09-22,-0.020451618927651526,-0.002325788807043233,0.027448106998570407
CAT,2023-03-23,-0.0066602846546655395,-0.013477490077067021,-0.009766517079571265
CAT,2024-09-19,0.03124048078552609,0.02603875178048591,0.08623182850872727
CAT,2024-12-19,0.003323273841233357,-0.006359659692687187,-0.018755399927284828
CAT,2025-09-18,0.04344194202206678,0.02273733607349794,0.022355132144879795
CAT,2025-10-30,0.11763715420286924,-0.008395602093013566,-0.0074697672120270335
CAT,2025-12-11,-0.006723489871165118,-0.025366455353139285,-0.07296275499739598
